Model,Entity Type,Entity,Predicted,Actual
custom_model,PERSON,5.4 Provide,1,0
custom_model,PERSON,4.3 Redefine,1,0
custom_model,PERSON,Teams,1,0
custom_model,PERSON,Programs,1,0
custom_model,PERSON,Planner,1,0
custom_model,PERSON,Delta,1,0
custom_model,PERSON,Overall,1,0
custom_model,PERSON,Assessment Approach,1,0
custom_model,PERSON,Manger I,1,0
custom_model,PERSON,Supervisor,1,0
custom_model,PERSON,SharePoint,1,0
custom_model,PERSON,Outlook,1,0
custom_model,PERSON,OneNote,1,0
custom_model,ORG,MS Office,1,0
custom_model,ORG,Community Programs Division,1,0
custom_model,ORG,the Federal Trust Fund,1,0
custom_model,ORG,• Collaboration – Fostering,1,0
custom_model,ORG,the Natural Resources Agency,1,0
custom_model,ORG,Microsoft,1,0
custom_model,ORG,Delta Conservancy,1,0
custom_model,ORG,the Executive Team,1,0
custom_model,ORG,Conservatory’s,1,0
custom_model,ORG,MS Teams,1,0
custom_model,ORG,Findings & Recommendations,1,0
custom_model,ORG,the State Legislature,1,0
custom_model,ORG,Delta,1,0
custom_model,ORG,• Grant,1,0
custom_model,ORG,the Programs Division,1,0
custom_model,ORG,Severely Disadvantage Communities,1,0
custom_model,ORG,Mission Consulting,1,0
custom_model,ORG,the Delta Carbon Program,1,0
custom_model,ORG,the Environmental License Plate Fund,1,0
custom_model,ORG,San Joaquin,1,0
custom_model,ORG,Delta Conservancy Board,1,0
custom_model,ORG,General Fund,1,0
custom_model,ORG,Mission Consulting’s,1,0
custom_model,ORG,the California State,1,0
custom_model,ORG,the Department of Water Resources,1,0
custom_model,ORG,the General Fund,1,0
custom_model,ORG,Executive Team,1,0
custom_model,ORG,Administration Division,1,0
custom_model,ORG,Organizational Assessment Report,1,0
custom_model,ORG,Programs Division,1,0
custom_model,ORG,2.2 Build,1,0
custom_model,ORG,the Enacted Budget,1,0
custom_model,ORG,State,1,0
custom_model,ORG,• Recommendations – Develop,1,0
custom_model,PERSON,X.XX/4.00 Related Coursework,1,0
custom_model,PERSON,Second Major,1,0
custom_model,PERSON,Emphasis GPA,1,0
custom_model,PERSON,Year,1,0
custom_model,PERSON,Study Abroad,1,0
custom_model,ORG,CAMPUS & COMMUNITY,1,0
custom_model,ORG,Southeastern Louisiana University City,1,0
custom_model,ORG,Club/Organization Name,1,0
custom_model,ORG,LinkedIn Address (Optional,1,0
custom_model,ORG,First & Last Name,1,0
custom_model,ORG,Professional Email Address • Phone,1,0
custom_model,ORG,Honor/Award/Grant Month,1,0
custom_model,PERSON,Career Summary,1,0
custom_model,PERSON,Little Rock,1,0
custom_model,PERSON,• Dean’s List,1,0
custom_model,PERSON,Cowell Elementary,1,0
custom_model,PERSON,• BA,1,0
custom_model,PERSON,Employment History,1,0
custom_model,PERSON,Supervisor,1,0
custom_model,PERSON,John W. Smith,1,0
custom_model,EMAIL,jwsmith@colostate.edu,1,0
custom_model,ORG,Early Childhood Development,1,0
custom_model,ORG,• Maintained,1,0
custom_model,ORG,• Assisted,1,0
custom_model,ORG,Little Rock,1,0
custom_model,ORG,Rainbow Special Care Center,1,0
custom_model,ORG,Functional Resume Sample,1,0
custom_model,ORG,Elementary Education,1,0
custom_model,ORG,Client Specialist,1,0
custom_model,ORG,• Coordinated client contact,1,0
custom_model,ORG,The Wesley Center,1,0
custom_model,ORG,Education University,1,0
custom_model,ORG,• Oversaw daily,1,0
custom_model,ORG,• Coordinated,1,0
custom_model,PERSON,Altus,1,0
custom_model,PERSON,Volunteer Contributor,1,0
custom_model,PERSON,Java,1,0
custom_model,PERSON,Researched,1,0
custom_model,PERSON,Youth Soccer,1,0
custom_model,PERSON,RESUME SAMPLES,1,0
custom_model,PERSON,Dean’s Scholar,1,0
custom_model,PERSON,C++,1,0
custom_model,PERSON,Relational Databases,1,0
custom_model,PERSON,QuickBooks,1,0
custom_model,PERSON,Supervisor,1,0
custom_model,PERSON,Problem Solving,1,0
custom_model,PERSON,Receptionist,1,0
custom_model,PERSON,HTML,1,0
custom_model,PERSON,Frederick Street,1,0
custom_model,PERSON,Graduated Summa Cum Laude Dean,1,0
custom_model,PERSON,Volunteer,1,0
custom_model,PERSON,XML,1,0
custom_model,PERSON,Relevant Coursework,1,0
custom_model,PERSON,West Telemarketing,1,0
custom_model,PERSON,ASP.NET Database,1,0
custom_model,PERSON,Windows NT,1,0
custom_model,PERSON,Bookkeeper,1,0
custom_model,PERSON,Visual C++,1,0
custom_model,PERSON,Healthy Relationships,1,0
custom_model,PERSON,Resume Wizards,1,0
custom_model,PERSON,Hastings Campus,1,0
custom_model,PERSON,Pi Gamma Mu,1,0
custom_model,PERSON,Omaha,1,0
custom_model,PERSON,PowerPoint,1,0
custom_model,PERSON,Alpha Chi Honor,1,0
custom_model,PERSON,Developed,1,0
custom_model,PERSON,Bellevue,1,0
custom_model,PERSON,Hastings,1,0
custom_model,PERSON,Formulated,1,0
custom_model,PERSON,Marketed,1,0
custom_model,PERSON,Northridge Drive,1,0
custom_model,PERSON,Precision Tool,1,0
custom_model,PERSON,Omaha NE,1,0
custom_model,PERSON,W-2,1,0
custom_model,PERSON,SQL,1,0
custom_model,PERSON,Novell,1,0
custom_model,PERSON,Worked,1,0
custom_model,PERSON,3.98/4.00 Dean’s Scholar,1,0
custom_model,PERSON,Templates,1,0
custom_model,EMAIL,imasample1@xxx.com,1,0
custom_model,EMAIL,careerservices@bellevue.edu,1,0
custom_model,EMAIL,imasample10@xxxx.net,1,0
custom_model,EMAIL,imasample6@xxx.com,1,0
