Model,Entity Type,Entity,Predicted,Actual
default_model,PERSON,Kickoff,1,0
default_model,PERSON,Assessment Approach,1,0
default_model,PERSON,Manger I. 2,1,0
default_model,PERSON,MS Teams,1,0
default_model,PERSON,Redefine,1,0
default_model,PERSON,Outlook,1,0
default_model,ORG,Teams,1,0
default_model,ORG,Conservatory’s,1,0
default_model,ORG,the Department of Water Resources,1,0
default_model,ORG,Delta,1,0
default_model,ORG,the Environmental License Plate Fund,1,0
default_model,ORG,the State Legislature,1,0
default_model,ORG,the Administration Division,1,0
default_model,ORG,Community Programs Division,1,0
default_model,ORG,Findings & Recommendations 1,1,0
default_model,ORG,the General Fund,1,0
default_model,ORG,Severely Disadvantage Communities,1,0
default_model,ORG,Interviews,1,0
default_model,ORG,Delta Conservancy,1,0
default_model,ORG,LLC,1,0
default_model,ORG,Conservancy,1,0
default_model,ORG,OneNote,1,0
default_model,ORG,Administration Divisions,1,0
default_model,ORG,Mission Consulting’s,1,0
default_model,ORG,State,1,0
default_model,ORG,Microsoft Windows,1,0
default_model,ORG,Reimbursement,1,0
default_model,ORG,MS Office,1,0
default_model,ORG,Administration Division,1,0
default_model,ORG,Programs and Administration Divisions,1,0
default_model,ORG,Delta Conservancy Board,1,0
default_model,ORG,the Natural Resources Agency,1,0
default_model,ORG,• Grant,1,0
default_model,ORG,the Federal Trust Fund,1,0
default_model,ORG,the Enacted Budget,1,0
default_model,ORG,Mission Consulting,1,0
default_model,ORG,the Programs Division,1,0
default_model,ORG,the Executive Team,1,0
default_model,ORG,the Delta Carbon Program,1,0
default_model,ORG,Administration,1,0
default_model,ORG,Board,1,0
default_model,ORG,Division,1,0
default_model,ORG,Programs Division,1,0
default_model,ORG,Office,1,0
default_model,ORG,SharePoint,1,0
default_model,ORG,Reliance,1,0
default_model,ORG,General Fund,1,0
default_model,ORG,Program,1,0
default_model,ORG,the California State,1,0
default_model,PERSON,Emphasis GPA,1,0
default_model,PERSON,X.XX/4.00 Related Coursework,1,0
default_model,ORG,Professional Email Address • Phone Number • Portfolio,1,0
default_model,ORG,Club/Organization Name,1,0
default_model,ORG,Minor,1,0
default_model,ORG,Honor/Award/Grant Month,1,0
default_model,ORG,First & Last Name,1,0
default_model,ORG,LinkedIn Address,1,0
default_model,ORG,CAMPUS & COMMUNITY INVOLVEMENT,1,0
default_model,ORG,Southeastern Louisiana University City,1,0
default_model,PERSON,• Maintained,1,0
default_model,PERSON,• BA,1,0
default_model,PERSON,• Dean’s List,1,0
default_model,PERSON,Career Summary,1,0
default_model,PERSON,Employment History,1,0
default_model,PERSON,John W. Smith,1,0
default_model,PERSON,Cowell Elementary,1,0
default_model,EMAIL,jwsmith@colostate.edu,1,0
default_model,ORG,Client Specialist,1,0
default_model,ORG,Education University of Arkansas,1,0
default_model,ORG,Adult Care Experience • Determined,1,0
default_model,ORG,Elementary Education,1,0
default_model,ORG,Early Childhood Development,1,0
default_model,ORG,• Coordinated,1,0
default_model,ORG,Rainbow Special Care Center,1,0
default_model,ORG,• Oversaw,1,0
default_model,ORG,The Wesley Center,1,0
default_model,ORG,• Assisted,1,0
default_model,ORG,GPA,1,0
default_model,ORG,Childcare,1,0
default_model,PERSON,van driver COMMUNITY,1,0
default_model,PERSON,C++,1,0
default_model,PERSON,Performed,1,0
default_model,PERSON,Precision Tool,1,0
default_model,PERSON,Supervisor,1,0
default_model,PERSON,Dean’s Scholar,1,0
default_model,PERSON,Visual C++,1,0
default_model,PERSON,Relevant Coursework,1,0
default_model,PERSON,Hastings Campus,1,0
default_model,PERSON,Hastings,1,0
default_model,PERSON,Alpha Chi Honor Societies,1,0
default_model,PERSON,Assisted,1,0
default_model,PERSON,Language Skills,1,0
default_model,PERSON,3.98/4.00 Dean’s Scholar Associate of Arts,1,0
default_model,PERSON,Healthy Relationships,1,0
default_model,PERSON,Established,1,0
default_model,PERSON,Developed,1,0
default_model,PERSON,Volunteer Contributor,1,0
default_model,PERSON,Clerk,1,0
default_model,PERSON,Sales Associate,1,0
default_model,PERSON,Pi Gamma Mu,1,0
default_model,PERSON,Problem Solving,1,0
default_model,PERSON,Omaha NE,1,0
default_model,PERSON,C++ CHRONOLOGICAL,1,0
default_model,PERSON,Researched,1,0
default_model,PERSON,Youth Soccer,1,0
default_model,PERSON,Java,1,0
default_model,PERSON,ASP.NET Database Management: Relational Databases,1,0
default_model,PERSON,Templates,1,0
default_model,EMAIL,imasample4@xxx.com,1,0
default_model,EMAIL,careerservices@bellevue.edu,1,0
default_model,EMAIL,imasample5@xxx.com,1,0
default_model,EMAIL,imasample2@xxx.com,1,0
default_model,EMAIL,imasample10@xxxx.net,1,0
default_model,EMAIL,imasample1@xxx.com,1,0
default_model,EMAIL,imasample6@xxx.com,1,0
default_model,EMAIL,imasample3@xxx.com,1,0
default_model,EMAIL,imasample9@xxx.com,1,0
default_model,EMAIL,imasample7@xxx.com,1,0
default_model,EMAIL,imasample8@xxx.com,1,0
default_model,ORG,SQL,1,0
default_model,ORG,Bergen Mercy Hospital,1,0
default_model,ORG,Marketed,1,0
default_model,ORG,SMC,1,0
default_model,ORG,Customer Service Representative,1,0
default_model,ORG,Financial Systems,1,0
default_model,ORG,Student Intern,1,0
default_model,ORG,the Bellevue University Career Services Center,1,0
default_model,ORG,PL/SQL,1,0
default_model,ORG,Financial Accounting Development Program,1,0
default_model,ORG,MANAGERIAL,1,0
default_model,ORG,Microsoft Word,1,0
default_model,ORG,CLEP,1,0
default_model,ORG, Certified as Master Instructor,1,0
default_model,ORG,Bellevue NE Expected Graduation Date,1,0
default_model,ORG,DANTES,1,0
default_model,ORG,QuickBooks,1,0
default_model,ORG,Major: Management Information Systems,1,0
default_model,ORG,Bellevue University Computer Lab Newsletter,1,0
default_model,ORG,Society for Human Resources Management,1,0
default_model,ORG,Management Information Systems Bellevue University,1,0
default_model,ORG,Relational Databases,1,0
default_model,ORG,Chair,1,0
default_model,ORG,Program Development Committee,1,0
default_model,ORG,Utilized TQM,1,0
default_model,ORG,Varsity Baseball Team,1,0
default_model,ORG,Novell,1,0
default_model,ORG,Business Administration,1,0
default_model,ORG,First United Methodist Church,1,0
default_model,ORG,Inferential Statistics,1,0
default_model,ORG,Coach,1,0
default_model,ORG,Department of Defense and Air Force,1,0
default_model,ORG,Digital,1,0
default_model,ORG,American Business Women's Association,1,0
default_model,ORG,the Career Services Center,1,0
default_model,ORG,Resume Wizards,1,0
default_model,ORG,Brushup Nebraska Paint-A-Thon,1,0
